,Group,diff,pred,n
2,Aaron Gordon,-0.09816826,0.401893188,349
6,Al Horford,0.031825005,0.428959308,408
8,Al-Farouq Aminu,-0.025197586,0.393618639,228
9,Alec Burks,-0.031266802,0.401432548,181
16,Allen Crabbe,-0.004905612,0.39620996,207
23,Andre Iguodala,-0.058101122,0.402928708,261
31,Andrew Wiggins,-0.071429618,0.390966042,604
34,Anthony Davis,-0.022810769,0.4148971,556
41,Arron Afflalo,0.041262265,0.391361848,141
43,Austin Rivers,-0.02293622,0.38793622,200
44,Avery Bradley,0.017464597,0.399052459,557
47,Ben McLemore,-0.043912341,0.392397189,198
51,Blake Griffin,-0.063219993,0.409131942,477
54,Bobby Portis,0.079075374,0.406638912,140
55,Bogdan Bogdanovic,-0.029012338,0.380574838,128
56,Bojan Bogdanovic,0.021347247,0.394581957,113
57,Boris Diaw,-0.03291835,0.420978052,134
59,Bradley Beal,-0.000547752,0.396907711,989
61,Brandon Bass,-0.002831714,0.427610475,113
63,Brandon Ingram,-0.047172834,0.410230159,157
65,Brandon Knight,-0.040885958,0.387420612,101
68,Bryn Forbes,0.039676309,0.393313381,194
69,Buddy Hield,-0.006032227,0.396004372,359
76,Carmelo Anthony,0.029488922,0.390540973,669
78,Chandler Parsons,-0.010269407,0.388800481,177
79,Channing Frye,-0.024476391,0.394041608,138
84,Chris Bosh,0.017220644,0.413107225,244
90,Chris Paul,0.044093519,0.401929209,704
92,CJ McCollum,0.097182913,0.390522005,244
99,Cory Joseph,-0.038764748,0.415169243,178
100,Courtney Lee,0.045569415,0.405694123,277
102,D.J. Augustin,-0.00351387,0.379400395,141
104,D'Angelo Russell,0.032175324,0.384491342,108
106,Damian Lillard,0.040474363,0.368939491,1126
108,Damyean Dotson,-0.085315674,0.382612972,111
110,Danilo Gallinari,0.0224576,0.384168906,332
112,Danny Green,0.030575361,0.390248934,461
113,Dante Cunningham,0.007426667,0.419473918,171
116,Dario Saric,0.058769263,0.392050409,122
118,Darrell Arthur,0.012910446,0.411549986,139
119,Darren Collison,0.05288782,0.412313645,273
122,David West,0.055943978,0.429632945,208
123,Davis Bertans,0.044951828,0.371106566,137
124,De'Aaron Fox,-0.063550804,0.405893146,111
129,DeMar DeRozan,-0.018603219,0.395673283,785
130,DeMarcus Cousins,-0.02660813,0.405693098,306
131,DeMarre Carroll,-0.03034873,0.399775481,157
133,Dennis Schroder,0.012231024,0.412093301,370
134,Denzel Valentine,0.068855727,0.402298119,104
138,Derrick Favors,-0.086709593,0.442358129,239
139,Derrick Rose,0.017261001,0.395583036,218
142,Devin Harris,-0.016510906,0.389716648,209
147,Dion Waiters,-0.010229687,0.389908832,374
148,Dirk Nowitzki,0.04896175,0.398817361,833
152,Donovan Mitchell,0.038630104,0.385788501,172
157,Doug McDermott,0.054159986,0.383935252,105
158,Draymond Green,-0.032371031,0.398418777,377
163,Dwyane Wade,-0.041294123,0.39843698,420
164,E'Twaun Moore,0.091980256,0.398845432,218
168,Elfrid Payton,-0.003671364,0.4165154,109
171,Emmanuel Mudiay,0.006219535,0.397626619,156
172,Enes Kanter,-0.100164398,0.445234821,142
173,Eric Bledsoe,0.016700972,0.395997441,126
174,Eric Gordon,0.017307327,0.373718314,468
175,Ersan Ilyasova,-0.068141096,0.403069326,209
176,Evan Fournier,-0.007040852,0.39354392,489
177,Evan Turner,-0.014901695,0.422901695,250
183,Fred VanVleet,0.002795585,0.38877068,166
185,Garrett Temple,-0.019819335,0.402535384,162
186,Gary Harris,0.008236125,0.390180762,379
188,George Hill,-0.000944012,0.403929087,268
191,Gerald Green,-0.042750288,0.38463063,117
192,Gerald Henderson,-0.041256198,0.405311498,217
194,Giannis Antetokounmpo,-0.077270324,0.406111294,371
196,Goran Dragic,-0.018657148,0.40727101,404
197,Gordon Hayward,-0.004358727,0.403500358,466
198,Gorgui Dieng,0.004796918,0.427761222,215
202,Harrison Barnes,-0.046603536,0.409435394,452
208,Hollis Thompson,-0.048955228,0.394543463,136
209,Ian Clark,-0.003266134,0.404840938,127
211,Iman Shumpert,-0.023863516,0.40285895,219
213,Isaiah Thomas,0.0103022,0.381743254,352
214,Ish Smith,0.012946891,0.414981037,222
217,J.J. Barea,-0.010737124,0.393182265,319
218,Jabari Parker,-0.05783424,0.414977097,168
220,Jae Crowder,-0.045672319,0.397627627,358
226,Jamal Crawford,0.015366723,0.381810696,496
227,Jamal Murray,-0.026483891,0.401106248,331
228,Jameer Nelson,-0.069282449,0.383692929,229
229,James Harden,0.01075004,0.361164854,1175
230,James Johnson,-0.137710948,0.411295854,106
234,JaMychal Green,-0.005158444,0.408667216,171
237,Jared Sullinger,-0.0436223,0.411720459,163
243,Jaylen Brown,-0.007226742,0.39382468,194
244,Jayson Tatum,-0.046234388,0.403898621,137
246,Jeff Green,-0.036363141,0.388786048,227
247,Jeff Teague,-0.003844086,0.407292362,290
250,Jerami Grant,0.016221132,0.412350297,126
252,Jeremy Lamb,0.046993501,0.395484375,113
256,Jerryd Bayless,0.041924608,0.399020274,127
258,Jimmy Butler,-0.057705744,0.39523723,397
262,Joe Ingles,0.046334655,0.391165345,320
266,Joel Embiid,-0.004100059,0.414814345,224
273,John Wall,-0.018027901,0.411113689,781
277,Jonas Valanciunas,0.021399858,0.43661541,131
282,Jordan Clarkson,0.014731251,0.393922595,416
292,Josh Richardson,-0.0417639,0.391618128,343
294,Jrue Holiday,-0.020586373,0.402219026,490
300,Justise Winslow,-0.005576855,0.409988619,136
302,Karl-Anthony Towns,-0.016501358,0.402353448,311
303,Kawhi Leonard,0.086996671,0.403985293,499
305,Kelly Olynyk,-0.048921888,0.404691119,208
306,Kemba Walker,0.023837075,0.402768429,218
310,Kent Bazemore,-0.003986408,0.398026143,302
311,Kentavious Caldwell-Pope,-0.042166665,0.389189252,487
313,Kevin Durant,0.06341811,0.379087024,974
316,Kevin Love,-0.004161272,0.396666203,507
317,Kevin Martin,0.013207355,0.391751323,121
320,Khris Middleton,0.063354627,0.392166845,652
322,Kirk Hinrich,0.011062908,0.405603759,120
323,Klay Thompson,0.053251426,0.387858852,1333
324,Kobe Bryant,-0.013470746,0.369201971,253
328,Kristaps Porzingis,-0.01866162,0.386820824,201
330,Kyle Korver,0.080943771,0.374375378,470
331,Kyle Kuzma,-0.079146008,0.399534358,103
332,Kyle Lowry,0.01368075,0.374739033,829
334,Kyle Singler,-0.07486044,0.400063692,123
335,Kyrie Irving,0.059271705,0.387862053,785
337,LaMarcus Aldridge,-0.012860116,0.417115435,752
338,Lance Stephenson,-0.013605217,0.398971071,205
339,Lance Thomas,-0.014536073,0.405445164,110
342,Langston Galloway,-0.02334407,0.397703044,195
348,LeBron James,-0.044887888,0.385796979,616
351,Lou Williams,-0.026480534,0.384842309,293
361,Malcolm Brogdon,0.029517817,0.400111812,135
364,Malik Beasley,0.044308024,0.397133417,111
365,Manu Ginobili,-0.033271634,0.399043446,298
366,Marc Gasol,-0.017761055,0.42416915,593
370,Marcus Morris,0.021542597,0.396001263,285
371,Marcus Smart,-0.071445466,0.389326261,302
373,Mario Chalmers,-0.081113602,0.395399316,105
374,Mario Hezonja,-0.025818403,0.386178763,111
376,Markieff Morris,0.04138464,0.406891222,203
378,Marreese Speights,-0.006081245,0.417371567,124
383,Matt Barnes,0.113682623,0.390317377,125
385,Matthew Dellavedova,-0.039881624,0.408302677,152
386,Maurice Harkless,-0.105650064,0.403118419,158
389,Meyers Leonard,0.005970311,0.406117601,182
393,Mike Conley,-0.006736773,0.400207564,582
395,Mike Muscala,-0.016131953,0.419801677,109
396,Mike Scott,0.02272064,0.402811275,141
400,Monta Ellis,0.029787391,0.404002563,219
403,Myles Turner,0.003809742,0.420847792,292
412,Nick Young,0.010930412,0.369069588,200
413,Nicolas Batum,-0.032846749,0.394232888,202
415,Nikola Jokic,0.016230458,0.393925792,256
416,Nikola Mirotic,0.02139959,0.372652454,269
418,Nikola Vucevic,-0.001411977,0.425067891,465
420,Norman Powell,-0.066014406,0.394481559,137
421,Norris Cole,-0.05258841,0.405529587,119
422,O.J. Mayo,-0.054278592,0.393409026,115
430,Pascal Siakam,-0.107083164,0.416606974,126
432,Patrick Beverley,-0.050278915,0.402843018,312
434,Patrick Patterson,-0.120974528,0.411297108,217
435,Patty Mills,-0.004174259,0.394090225,595
436,Pau Gasol,0.026561638,0.428837423,213
437,Paul George,0.011594113,0.386911491,803
438,Paul Millsap,-0.001292962,0.412120987,314
453,Ray Allen,0.049526991,0.388568247,105
455,Raymond Felton,-0.110463892,0.399772068,159
456,Reggie Bullock,0.056234432,0.386947386,176
458,Reggie Jackson,0.001190863,0.39560629,562
461,Ricky Rubio,-0.103751572,0.417361039,338
463,Robert Covington,0.012453355,0.366856989,319
466,Rodney Hood,0.024234624,0.382589523,381
468,Rodney Stuckey,-0.073223133,0.413963874,135
472,Rudy Gay,0.018010177,0.395479559,341
475,Russell Westbrook,-0.016125069,0.394529738,1028
476,Ryan Anderson,0.006282411,0.381995977,273
483,Serge Ibaka,0.023216888,0.417356883,488
484,Shabazz Muhammad,-0.113297615,0.412363035,107
488,Shaun Livingston,0.009185985,0.415395021,179
490,Shelvin Mack,-0.023549075,0.406665958,154
493,Solomon Hill,0.003664393,0.399436383,129
496,Stanley Johnson,-0.128857427,0.40219076,150
497,Stephen Curry,0.063362792,0.370745735,1290
502,T.J. McConnell,0.063554691,0.436445309,120
503,Taj Gibson,-0.045351125,0.43350902,152
508,Terrence Ross,0.051241981,0.382785797,576
509,Terry Rozier,0.002661961,0.396688688,308
510,Thabo Sefolosha,-0.037955762,0.412955762,104
511,Thaddeus Young,-0.100396021,0.407658591,179
516,Tim Duncan,-0.023068692,0.433325102,117
520,Tobias Harris,0.041109384,0.403824537,454
525,Tony Parker,-0.035434106,0.425607517,346
526,Tony Snell,-0.009835111,0.398724,198
531,Trevor Ariza,-0.008622384,0.395034274,471
533,Trey Burke,-0.019707352,0.38767272,231
534,Trey Lyles,-0.073328278,0.397137801,105
536,Ty Lawson,-0.058699146,0.417189713,212
540,Tyler Johnson,-0.017226059,0.39933988,246
548,Victor Oladipo,0.031009886,0.396621693,304
549,Vince Carter,0.038193792,0.378472875,228
550,Wayne Ellington,0.034166413,0.364526398,153
552,Wesley Johnson,-0.011275413,0.397240326,171
553,Wesley Matthews,0.014239279,0.394321032,514
554,Will Barton,0.001035915,0.389413523,356
559,Wilson Chandler,0.015347968,0.378474426,259
561,Yogi Ferrell,0.07692812,0.399707394,107
564,Zach LaVine,0.018082661,0.377342175,306
565,Zach Randolph,-0.02787454,0.426341973,261
